Empleados  Fecha Ingreso  Activo  
  92502    2017-9-7      no    
  79898    2018-2-11     no    
  86196    2020-5-4      no    
  73615    2015-9-24     no    
  75663    2018-2-23     no    
  72204    2020-7-16     no    
  27957    2015-2-20     no    
  54899    2018-3-24     no    
  25912    2016-7-17     no    
  12024    2016-9-3      no    
  92608    2015-2-1      no    
  60226    2015-2-21     no    
  34017    2017-6-9      no    
  24713    2015-6-14     no    
  96821    2018-9-11     no    
  31094    2018-7-5      no    
  40058    2020-4-5      no    
  28632    2016-2-14     no    
  45038    2016-8-15     no    
